Korean,English
새로운 ,new 
너희 ,you guys 
왔어 ,I'm here
아직도 ,still 
가지 ,egg plant 
나와 ,Me and
알 ,egg 
싶지 ,I don't want to
여기에 ,Here
원하는 ,Want
돈 ,money 
필요 ,necessary 
도움이 ,Help
그녀를 ,her
몰라요 ,I don't know 
작은 ,small 
혹시 ,if 
미안해요 ,sorry 
나쁜 ,bad 
죄송해요 ,sorry 
모르겠어 ,I don't know 
가요 ,song 
알지 ,I know
밖에 ,Outside
직접 ,Directly
있나 ,Is there
니 ,you 
해도 ,Even if it is
하죠 ,Let's do it
했는데 ,I did it
필요해 ,I need it
아니요 ,no 
적이 ,The enemy
있나요 ,Is there one?
갖고 ,Have
돈을 ,Money
주세요 ,please 
어디서 ,where 
것이 ,That is
거요 ,Yes
위한 ,For
것은 ,It is
없이 ,Without
나중에 ,later 
아버지 ,Father
나랑 ,With me
됐어요 ,Okay
마세요 ,Don't drink
차 ,car 
언제 ,when 
그저 ,just 
생각 ,thought 
했지 ,I did
봤어 ,I saw it
해서 ,So
시간을 ,Time
마지막 ,last 
알겠어 ,okay 
왜냐면 ,Because
위해서 ,For the sake of
엄청 ,A lot
알겠습니다 ,All right 
오래 ,long time 
기다려 ,wait 
아닙니다 ,no 
있는지 ,Is there
알겠어요 ,all right 
제일 ,most 
지난 ,past 
그렇죠 ,"Yes, that's right"
죽은 ,dead
제대로 ,Properly
아니지 ,No
있다면 ,If there is
보면 ,If you look
우리를 ,us
짓을 ,Do something
남자 ,man 
너가 ,you are 
있다는 ,There is
누구 ,who 
보여 ,Show
왔어요 ,came 
너한테 ,To you
여러분 ,everyone 
완전히 ,Completely
너의 ,your 
것이다 ,It is
밤 ,night 
소리 ,sound 
없지 ,No
벌써 ,already 
모르겠어요 ,I don't know 
말이지 ,"Yeah, right"
올 ,all 
사람들을 ,People
처음 ,first 
말이죠 ,That's right
사람들 ,people 
그녀의 ,Her
멋진 ,wonderful 
왜요 ,why 
정말로 ,really 
이름은 ,The name is
와서 ,Come
대해서 ,About
여보 ,honey 
조금 ,little 
않았어 ,Didn't
말이에요 ,That's what I'm saying
이름이 ,The name is
여보세요 ,hello 
서로 ,each other 
안돼요 ,No
죽을 ,Die
첫 ,First
매우 ,very 
사랑해 ,love you 
오늘은 ,today 
싶은 ,I want to
어디로 ,Where to
단지 ,only 
아닌 ,No
나가 ,get out 
뿐이야 ,That's all
미안 ,sorry 
확실히 ,surely 
싶어요 ,I want to
죄송합니다 ,sorry 
때까지 ,Until
없고 ,None
어때요 ,how is it 
살 ,fat 
당연히 ,of course 
데리고 ,Take
필요한 ,necessary
없다 ,does not exist 
후 ,after 
가고 ,good night 
글쎄 ,well 
않는 ,Not
했죠 ,I did
나의 ,my 
별로 ,not really 
않은 ,Not
라고 ,Said
집 ,house 
여전히 ,still 
없을 ,There won't be any
딱 ,Exactly
있어서 ,Because
이야기 ,story 
엄마는 ,Mom
부인 ,ma'am 
하는데 ,Doing
않고 ,Not
알았지 ,Okay
아니고 ,No
여자가 ,The woman
문 ,door 
되지 ,Not possible
거기서 ,There
훨씬 ,Much more
아버지가 ,My father
망할 ,Damn
뭔지 ,What is it
손 ,hand 
수술 ,surgery 
듣고 ,Listen
어쩌면 ,Maybe
보세요 ,look 
생각이 ,I thought
어느 ,any 
그러지 ,"Yeah, right"
되면 ,If it works
아마도 ,maybe 
준비 ,preparation 
전화 ,phone call 
뒤에 ,behind 
도대체 ,What the heck
너를 ,You
당신도 ,You too
것처럼 ,Like
않으면 ,If not
말하는 ,Speaking
최고의 ,The best
말하지 ,Don't say
세 ,count 
모르는 ,I don't know
유일한 ,The only
갑자기 ,suddenly 
이봐요 ,Hey there
건가요 ,Is it?
없다고 ,No
것입니다 ,It is
있잖아요 ,You know
되고 ,Become
어쨌든 ,anyway 
가진 ,Have
이번 ,this time 
뭐하는 ,What are you doing?
후에 ,later 
친구가 ,My friend
지 ,ji 
신경 ,nerves
그만해 ,stop 
누구야 ,who is this 
당신에게 ,To you
늘 ,always 
없었어 ,There wasn't any
그들을 ,them
있게 ,Have
알잖아 ,You know
누군가 ,Someone
분명히 ,Obviously
생각을 ,Thinking
존 ,John
일단 ,first 
가야 ,Go
걱정 ,worry 
보자 ,see 
매일 ,everyday 
수는 ,The number is
아침 ,morning 
말할 ,To say
말아요 ,Stop it
모두가 ,Everyone
않았어요 ,I didn't
얘기를 ,Talk
봤어요 ,I saw it
대신 ,instead 
마치 ,like 
건데 ,But
자넨 ,You
했잖아 ,I did it
둘이 ,Two
당신과 ,With you
집으로 ,home
한다 ,Do
두고 ,Leave it
이름을 ,Name
있네 ,There is
그들의 ,Their
뭔데 ,What is it?
금방 ,Soon
사는 ,Living
좋아하는 ,I like
찾을 ,Find
맘에 ,I like it
결국 ,at last 
이유가 ,The reason is
필요해요 ,I need it
중에 ,Among
그때 ,at that time 
보는 ,Seeing
너랑 ,With you
아이를 ,The child
없잖아 ,There isn't any
한다고 ,I said I would
기분 ,mood 
하게 ,Hage
놈이 ,That guy
못해 ,I can't
우리에게 ,To us
가면 ,mask
저를 ,Me
잡아 ,Grab it
집에서 ,at home 
우리도 ,Us too
기분이 ,I feel
저희 ,Us
찾고 ,Looking for
손을 ,Hand
거다 ,That's it
어제 ,yesterday 
남자가 ,The man
뭐지 ,what 
앞으로 ,from now on 
잠깐만요 ,Just a moment
자신의 ,own
애가 ,Lament
이상한 ,weird 
막 ,Just
먹고 ,Eat
아이 ,kid 
언제나 ,always 
여기가 ,Here it is
아들 ,son 
알게 ,I know
하세요 ,do 
총 ,gun 
스스로 ,self 
방법이 ,The method
있던 ,Was there
해봐 ,Try it
아님 ,No
때가 ,When
아니죠 ,No
했던 ,Did
조용히 ,Quietly
밤에 ,At night
미친 ,crazy
텐데 ,Tende
머리 ,head 
않습니다 ,Doesn't
잘못 ,wrong 
고맙습니다 ,Thank you 
있어야 ,Must have
왜냐하면 ,because 
앉아 ,Sit down
아침에 ,In the morning
죽일 ,Kill
환자 ,patient 
양 ,sheep 
없죠 ,No
일어나 ,wake up 
믿을 ,Believe
같네요 ,It's the same
건가 ,Is it okay?
게다가 ,furthermore 
알렉스 ,Alex
타고 ,Ride
데 ,place 
들었어 ,I heard
눈을 ,Eyes
나에게 ,to me 
없었어요 ,There wasn't any
만나서 ,meet 
진정해 ,calm down 
이것 ,this 
더이상 ,No more
보지 ,See
방법을 ,How to
원래 ,usually 
솔직히 ,to be honest 
좋지 ,Good
하려고 ,To do
빌어먹을 ,Fuck
총을 ,Gun
길을 ,The road
누군지 ,Who is it?
아니라고 ,No
자신을 ,yourself
여길 ,Here
있지만 ,But
얼른 ,Hurry up
얘들아 ,Hey guys
대로 ,As per
만든 ,Made
놈 ,That guy
조심해 ,be careful 
일에 ,At work
따라 ,according to 
술 ,alcohol 
정확히 ,Exactly
자기가 ,Honey
충분히 ,enough 
힘을 ,Strength
아저씨 ,mister 
알겠지 ,Okay
있었는데 ,There was
사랑하는 ,Beloved
기다리고 ,Waiting
될거야 ,It will work
살아 ,Alive
평생 ,Lifetime
아까 ,a moment ago 
얘야 ,Hey
눈 ,eye 
거기에 ,There
애 ,baby 
분명 ,Clearly
말하고 ,Speaking
역시 ,also 
저희가 ,We
찾아 ,Find
걔가 ,He
이럴 ,Like this
저기요 ,hey 
너와 ,With you
될까요 ,Will it work?
천천히 ,slowly 
문제 ,problem 
수술을 ,Have surgery
좋았어 ,It was good
어디에 ,where 
문을 ,The door
맞지 ,That's right
어딨어 ,Where are you?
조지 ,George
아녜요 ,No
저녁 ,dinner 
됩니다 ,It's possible
마요 ,Mayo
생각엔 ,I think
만들어 ,Make
적어도 ,At least
애들 ,Kids
개 ,dog 
잘했어 ,good job 
그러나 ,however 
주 ,main 
괜찮은 ,Okay
생각은 ,The thought is
위에 ,above 
가끔 ,sometimes 
있었던 ,There was
간 ,liver 
잠시 ,for a moment 
알아서 ,Figure it out
곳에 ,In a place
집을 ,house
그렇지만 ,but 
그레이 ,gray 
그럼요 ,sure 
삶을 ,Life
마음에 ,In my heart
살고 ,Live
들고 ,Holding
분 ,minute 
그랬어 ,"Yes, it was"
차를 ,Tea
옆에 ,next to
아이가 ,The child
이번엔 ,This time
저게 ,That's it
아빠는 ,Dad
괜찮을 ,It'll be okay
하자 ,let's do it 
알았는데 ,I thought so
생각해요 ,I think
없는데 ,There isn't any
생각하는 ,Thinking
아니잖아 ,"No, that's not true"
마지막으로 ,finally 
여자를 ,A woman
죽었어 ,Dead
멍청한 ,stupid
훌륭한 ,excellent 
있었지 ,There was
정도 ,degree 
베일리 ,Bailey
준비가 ,Ready
남은 ,Remaining
있으니까 ,Because it's there
싫어요 ,"no, I do not want "
입니다 ,no see 
영원히 ,forever 
엄청난 ,Huge
정신 ,spirit
는 ,Is 
계세요 ,Are you there?
하는지 ,Doing it
좋을 ,Good
있었죠 ,"Yes, it was there"
간다 ,Go
기회를 ,Opportunity
그대로 ,As is
하나도 ,Not even one
멈춰 ,Stop
필요가 ,Need
도와줘 ,Help me
다음에 ,next time 
앞에서 ,In front
뭐든 ,Anything
물 ,water 
밖으로 ,Out
오는 ,coming 
그렇다면 ,then 
미국 ,USA 
말라고 ,Don't tell me
하지마 ,don't 
서 ,west 
말한 ,Said
테니까 ,Because
앞에 ,In front
를 ,cast 
처럼 ,like 
저한테 ,To me
거고 ,That's right
받아 ,Accept
그것도 ,That too
요즘 ,recently 
믿어 ,Believe me
뒤로 ,Back
놈들이 ,Those guys
입고 ,store 
보니 ,Bonnie
속에 ,Inside
잠시만요 ,wait a minute 
소리야 ,Sound
들어봐 ,Listen
자기야 ,babe 
헤이 ,hey 
에 ,to 
이해가 ,I understand
옷 ,clothes 
들어가 ,Go in
아버지는 ,My father
않을거야 ,I won't
있소 ,There is
자네는 ,You
모르겠지만 ,I don't know
누구도 ,No one
입 ,mouth 
어머니 ,mother 
특별한 ,special 
좋겠어 ,I wish
준 ,June 
그것은 ,that 
관한 ,About
할게 ,I'll do it
여기는 ,Here is
언니 ,Sister
환자가 ,The patient
갈게 ,I'll go
나야 ,it's me 
제게 ,To me
하루 ,day 
단 ,step 
필 ,Phil
가세요 ,Go
끔찍한 ,Terrible
걸로 ,By the way
사랑 ,love 
일도 ,Work too
아름다운 ,beautiful 
년 ,year 
형 ,brother 
뭐요 ,What
저런 ,Like that
별 ,star 
아니다 ,no 
받고 ,Received
할거야 ,I will do it
쓸 ,Write
씨발 ,Fuck
돈이 ,Money
그에게 ,To him
뭔가를 ,something
마음을 ,My heart
문제는 ,The problem is
의 ,of 
서둘러 ,Hurry up
못할 ,Can't
없네 ,There isn't any
끝났어 ,It's over
있을거야 ,There will be
머리를 ,Head
생각하지 ,I don't think
뭐라고요 ,What did you say?
힘든 ,Hard
보게 ,See
가게 ,store 
말해봐 ,say it 
밥 ,rice 
상황이 ,The situation is
줘요 ,Give it to me
만큼 ,As much as
했지만 ,But I did
같은데요 ,It's the same
이름 ,name 
엄마를 ,Mom
전화를 ,Call
어쩔 ,What to do
있니 ,Is there
번째 ,Second
할까 ,Shall we do it?
얘길 ,Talk
찾는 ,Looking for
선생님이 ,The teacher
진짜로 ,Really
일이에요 ,It's work
건지 ,Guernsey
가족을 ,family
할지 ,Will do it
중이야 ,It's heavy
믿지 ,I don't believe it
닥쳐 ,shut up 
여기로 ,Here
저건 ,That's
주고 ,Give
멀리 ,far away
어이 ,hey 
거짓말 ,lie 
약 ,approximately 
잭 ,jack 
사실은 ,in fact 
받을 ,Receive
그러고 ,And then
겁니까 ,Are you scared?
먹을 ,Eat
그치만 ,But
너에게 ,to you 
들었어요 ,I heard
하기 ,do 
오빠 ,Oppa
오고 ,Coming
있을까 ,Could it be possible?
어린 ,Young
통해 ,Through
아닌데 ,No
조금만 ,Just a little bit
맞는 ,Correct
차에 ,In the car
여자는 ,The woman
보러 ,To see
손에 ,In hand
모르지 ,I don't know
가까이 ,Close
테니 ,Tennis
되죠 ,Okay
점점 ,More and more
잔 ,glass 
이야기를 ,Tell the story
물론이죠 ,Of course
학교 ,school 
주는 ,Giving
아가씨 ,Miss
먹어 ,Eat
것에 ,On that
크게 ,big 
이유는 ,The reason is
군 ,army 
모두들 ,Everyone
죽인 ,killed
셋 ,three 
알죠 ,I know
기억 ,memory 
경찰 ,police 
제이 ,Jay 
그래야 ,That's right
목숨을 ,Life
있을까요 ,Is there any?
아니지만 ,But no
했다 ,did
딸 ,daughter
많아 ,A lot
떨어져 ,away
사람이야 ,It's a person
다시는 ,Never again
거잖아 ,That's it
애들이 ,The kids
애를 ,Ae-reul
을 ,second 
말이다 ,That's right
없다는 ,There is none
만들 ,Make
오면 ,When you come
할게요 ,I will do it
아기 ,baby 
영화 ,movie 
가족 ,family 
찾았어 ,I found it
특히 ,especially 
아들을 ,Son
제발요 ,Please
꿈을 ,Dream
세상을 ,The world
놈을 ,That guy
아니었어 ,No it wasn't
마이크 ,mike 
그리 ,picture 
무엇을 ,what 
만드는 ,Making
얼마 ,how much 
보여요 ,I can see it
사진 ,picture 
칼 ,knife 
잠시만 ,for a moment 
병원에 ,To the hospital
같습니다 ,It's the same
바보 ,fool 
열어 ,Open
현재 ,today 
해줘 ,Do it
주지 ,Governor
했습니다 ,I did it
자주 ,often 
있겠지 ,There must be
하는거야 ,I'm doing it
샘 ,Sam
꺼져 ,go away 
가만히 ,Stay still
그랬지 ,"Yes, that's right"
지금까지 ,until now 
저거 ,That
당연하지 ,of course 
나서 ,Afterwards
그것 ,that 
또한 ,also 
보이지 ,Invisible
노래 ,sing 
위험한 ,dangerous
클레어 ,Claire
쉽게 ,easily
오지 ,Oji
정말요 ,Really
계획이 ,The plan is
잡고 ,Hold
열심히 ,try hard 
마라 ,Mara
경찰이 ,The police
말하면 ,If you say
방에 ,In the room
됐다 ,Okay
마음이 ,My heart
메러디스 ,Meredith
운이 ,Luck
드디어 ,at las 
정보를 ,Information
말입니다 ,That's right
때는 ,When
얼굴을 ,face
만난 ,Met
있거든 ,If there is
달 ,moon 
약간 ,a little 
했다고 ,I did it
일찍 ,early 
굉장히 ,Very
못해요 ,I can't do it
진실을 ,The truth
줄게 ,I'll give it to you
아세요 ,Do you know
누굴 ,Who
거라 ,That's right
가족이 ,The family
새로 ,New
절대로 ,Never
와요 ,Come on
알지만 ,I know but
되어 ,Become
내려 ,Get down
같네 ,Same
그거야 ,That's it
크리스티나 ,Christina
사이에 ,In between
자꾸 ,repeatedly 
저리 ,Over there
사실을 ,The truth
프랭크 ,Frank
와우 ,wow 
뛰어 ,Jump
갔어 ,I went
죽게 ,Die
네게 ,To you
심지어 ,Even
글쎄요 ,well 
사람의 ,People's
오랫동안 ,For a long time
모습을 ,Appearance
얘기가 ,The story
아이고 ,oh my 
상관 ,Correspondence
일하는 ,Working
짐 ,load 
길 ,road 
사건 ,incident
그렇다고 ,That's not true
들어요 ,Listen
상황을 ,The situation
옷을 ,Clothes
일이죠 ,It's work
아니예요 ,No
죽어 ,Dead
뿐이에요 ,That's all
필요는 ,Need
여기요 ,Here it is
사랑해요 ,i love you 
죽는 ,dying
누군가가 ,Someone
얘기해 ,Talk
모두를 ,Everyone
커피 ,coffee 
있는거야 ,It exists
있으니 ,There is
없지만 ,But there isn't
열 ,heat 
다신 ,Again
만날 ,Meet
남자는 ,The man
저희는 ,We are
떠날 ,Leave
맞죠 ,That's right
아들이 ,My son
놈은 ,That guy
하나가 ,One
의사 ,doctor 
박사님 ,Doctor
나오는 ,Coming out
딸이 ,My daughter
거짓말을 ,Lie
했고 ,I did
얼굴 ,face 
보내 ,send 
받은 ,Received
쓰고 ,Write
곳이 ,The place
된다고 ,It's okay
설마 ,no way 
우리한테 ,To us
방법은 ,The method is
인생을 ,Life
보이는 ,Visible
정도로 ,To that extent
아니오 ,no 
여러 ,several 
자고 ,Sleep
한다면 ,If you do it
실례합니다 ,excuse me 
기회가 ,Opportunity
했을 ,would have done
결혼 ,marriage 
소리를 ,sound
알았다 ,I get it 
해야지 ,I have to do it
완벽한 ,Perfect
있었다 ,There was
곳을 ,place
겨우 ,barely 
없으면 ,If not there
아내가 ,My wife
있습니까 ,Is there
만들고 ,Make it
비켜 ,Get out of the way
그것을 ,That
피를 ,Blood
못한 ,Bad
말씀 ,Words
자식 ,children
만약에 ,If
위대한 ,Great
써 ,write 
이리와 ,Come here
눈이 ,Eyes
사람도 ,People too
요 ,yo. this 
자신이 ,myself
당신한테 ,To you
보통 ,commonly 
나갈 ,Go out
문제를 ,The problem
보다 ,see 
앉아서 ,Sit down
도와줘요 ,Help me
원하지 ,I don't want to
이쪽으로 ,This way
생각하고 ,Thinking about it
갑시다 ,Let's go
사랑을 ,Love
너네 ,You guys
조 ,article 
밖에서 ,Outside
들어와 ,Come in
그렇군요 ,okay 
척 ,Chuck
같군 ,Same
나온 ,Came out
같지 ,Same
불러 ,Call
도움을 ,Help
마음 ,mind 
최선을 ,Do your best
된다 ,It works
곳으로 ,To a place
아기를 ,baby
죽이고 ,Kill
대단한 ,Great
뭐예요 ,What is it?
환자를 ,The patient
똑같은 ,Same
가능한 ,possible
친구들 ,Friends
원해 ,I want
좋아해 ,i like you 
될까 ,Will it work?
봤지 ,I saw it
방 ,room 
몰라도 ,I don't know
갈게요 ,I'll go
때도 ,Sometimes
움직여 ,Move
눈에 ,In the eyes
숨을 ,Breathe
음악 ,music 
자는 ,Sleeping
딸을 ,daughter
모르겠네요 ,I don't know
의사가 ,The doctor
셜록 ,Sherlock
딴 ,Other
가져와 ,Bring it
세상에서 ,In the world
소리가 ,The sound
시간은 ,Time is
도울 ,Help
만한 ,worth
남편이 ,My husband
한다는 ,I'm doing it
아버지를 ,Father
일로 ,By work
감옥에 ,In prison
됐지 ,Okay
짓 ,act 
순간 ,moment
도와줄 ,I will help you
있도록 ,So that
할머니 ,grandma 
짓이야 ,It's a mess
쓰는 ,Writing
했잖아요 ,I did it
너희들 ,You guys
피터 ,Peter
당신들 ,You guys
그날 ,That day
화가 ,artist 
새끼 ,young 
쓴 ,Bitter
안에서 ,Inside
최대한 ,As much as possible
하네 ,Yeah
팀 ,Team
이후로 ,Since then
그들 ,They
이지 ,easy 
그치 ,right 
죽었어요 ,I'm dead
곳에서 ,In a place
때마다 ,Every time
몸이 ,body
모든게 ,Everything
캠 ,Cam
어차피 ,anyway 
압니다 ,I know
기억이 ,I remember
어딜 ,Where
산 ,mountain 
들려 ,I can hear it
있네요 ,There is
분이 ,Minute
없어서 ,Because it's not there
이곳에 ,Here
미안하지만 ,I'm sorry 
일어난 ,happened
왔습니다 ,I've come
로스 ,Ross
속에서 ,In the inside
친구를 ,Friends
모르지만 ,I don't know but
예쁜 ,pretty 
몸을 ,body
잊지 ,Forget
엄마한테 ,To mom
왔다 ,Came
했는지 ,Did you do it?
타 ,get on 
같군요 ,It's the same
명 ,number of people 
모든걸 ,Everything
하라고 ,Do it
그렇습니다 ,Yes
때문이야 ,Because of that
있겠어 ,There will be
덕분에 ,Thanks to you
싶으면 ,If you want
나가서 ,Go out
비밀 ,secret 
달라 ,Different
것보다 ,Than
찾았어요 ,I found it
대 ,big 
데릭 ,Derek
고통을 ,Pain
환자는 ,The patient
엄마랑 ,With mom
진정한 ,True
같다 ,Same
생긴 ,Looked like
병원 ,hospital 
반가워요 ,nice to meet you 
내내 ,All the time
가도 ,Gado
생각에 ,In my thoughts
오세요 ,Come
이러지 ,Like this
따르면 ,According to
고맙네 ,Thank you
할까요 ,Should I do it?
사진을 ,Take a picture
않게 ,Not
한잔 ,A glass
않는다 ,Doesn't
있었고 ,There was
되는데 ,It works
남자를 ,A man
안으로 ,Inside
알았죠 ,Okay
물론이지 ,of course 
보낸 ,Sent
피가 ,Blood
하니까 ,Because
아가 ,baby 
반드시 ,certainly 
아무리 ,No matter how much
얘기는 ,The story is
잘못된 ,wrong
오케이 ,okay 
알아야 ,You need to know
걸요 ,I'm going
해줄 ,I will do it
자리를 ,Place
문제야 ,It's a problem
이유를 ,The reason
그러다 ,Then
약을 ,Medicine
싶었어 ,I wanted to
높은 ,high
같아서 ,Because it's the same
이해 ,understanding 
하나만 ,Just one
돌아올 ,Come back
있는게 ,There is
좋습니다 ,great 
좋다 ,good night 
배를 ,The ship
찾아야 ,Need to find
못하게 ,Don't let it happen
막을 ,Block
계획을 ,Make a plan
루크 ,Luke
이래 ,Like this
모르고 ,I don't know
없잖아요 ,There isn't any
그녀 ,She
그동안 ,In the meantime
거니 ,Goni
빼고 ,Except
거긴 ,There
이라고 ,Said
그랬어요 ,"Yes, it was"
더는 ,No more
죽지 ,Don't die
녀석 ,guy
몰랐어 ,I didn't know
리 ,lee 
뭐라 ,What
박사 ,doctor 
죽였어 ,I killed him
믿고 ,Believe
좋네요 ,That's good
여기까지 ,Up to here
이쪽은 ,This side is
사람들에게 ,To the people
아빠를 ,Dad
어려운 ,difficult 
봤는데 ,I saw it
적은 ,Less
법을 ,The law
모르겠다 ,I don't know 
신이 ,God
그렇고 ,Yes
관심 ,interest 
집이 ,The house
오직 ,Only
좋아해요 ,i like you 
있었습니다 ,There was
나은 ,Better
않아도 ,Don't have to
나면 ,When I come out
옛날 ,old days
얘가 ,This guy
식으로 ,In this way
그걸로 ,With that
냄새가 ,The smell
못하는 ,Can't
인간 ,human
세상이 ,The world
책 ,book 
모두에게 ,To everyone
말해줘 ,Tell me
처음으로 ,For the first time
그러게 ,I know 
실제로 ,actually 
제임스 ,James
데려다 ,Take me
크리스마스 ,christmas 
보기 ,look 
신의 ,God
말했잖아 ,I told you
말했어 ,I told you
돌아갈 ,Go back
한번도 ,Never
긴 ,long 
움직이지 ,Don't move
착한 ,Good
일이지 ,It's work
쓰지 ,Don't write
곳 ,place 
도와주세요 ,help 
그러죠 ,"Yeah, right"
거니까 ,That's why
곁에 ,next to you
그녀에게 ,To her
그러는 ,That's right
머리에 ,On the head
확인해 ,Check it out
싶어서 ,Because I wanted to
것들을 ,Things
데이트 ,date 
